tarih-saat,latitude,longitude,depth,magnitude
11-10-2023 15:08:22,38.235,38.642,7.37,1.2
11-10-2023 15:09:09,37.3,29.669,7,1.4
11-10-2023 15:16:37,37.419,37.202,14.43,1.2
11-10-2023 15:39:22,36.224,35.917,7.51,2.2
11-10-2023 15:41:09,37.147,36.666,7,1.6
11-10-2023 16:08:24,39.134,25.854,7.11,2.5
11-10-2023 16:15:14,38.256,37.76,6.99,2.0
11-10-2023 16:35:13,38.141,38.532,6.97,2.1
11-10-2023 16:39:20,39.991,38.452,9.73,2.5
11-10-2023 17:01:22,37.261,43.882,7,2.6
11-10-2023 17:21:55,37.842,36.175,7,1.4
11-10-2023 18:39:34,39.42,40.37,6.56,1.5
11-10-2023 18:43:26,38.041,37.364,7.01,2.0
11-10-2023 19:07:00,38.342,27.191,8.31,2.6
11-10-2023 19:08:44,38.036,37.34,7.15,1.9
11-10-2023 19:36:01,40.844,28.275,6.99,3.0
11-10-2023 19:39:00,37.142,36.951,7.55,3.2
11-10-2023 19:46:37,38.109,38.469,13.36,2.4
11-10-2023 19:56:49,36.851,29.001,8.73,3.5
11-10-2023 20:19:07,37.528,37.207,6.63,1.6
11-10-2023 20:25:06,38.264,38.324,10.51,1.8
11-10-2023 21:07:58,37.054,28.49,7.04,1.1
11-10-2023 21:13:18,38.096,37.886,10.06,1.8
11-10-2023 22:17:08,38.106,37.134,7,1.9
11-10-2023 23:20:04,37.851,36.534,7.03,2.1
11-10-2023 23:59:20,37.448,37.119,7.76,2.1
12-10-2023 00:12:29,36.385,36.249,7,1.8
12-10-2023 00:30:16,38.017,36.471,7,1.8
12-10-2023 00:51:15,37.823,36.322,7.02,1.8
12-10-2023 00:53:52,37.77,36.216,6.82,1.6
12-10-2023 01:25:15,38.184,38.604,7.71,1.6
12-10-2023 01:29:40,37.088,28.372,6.98,1.5
12-10-2023 01:53:43,37.36,36.867,7,1.4
12-10-2023 02:04:43,38.158,38.552,7.06,1.5
12-10-2023 02:44:07,37.892,27.362,6.9,1.9
12-10-2023 02:47:59,39.173,33.32,7.01,2.0
12-10-2023 03:18:32,40.825,31.108,6.99,1.2
12-10-2023 04:29:13,37.903,36.248,7,2.0
12-10-2023 04:53:31,38.423,28.002,6.97,1.3
12-10-2023 04:55:16,37.235,36.735,7.81,2.0
12-10-2023 05:08:13,36.987,27.006,6.74,1.7
12-10-2023 05:16:23,37.573,37.279,8.9,1.8
12-10-2023 05:33:15,38.433,36.575,7.2,1.8
12-10-2023 05:54:30,36.044,35.938,7.14,2.2
12-10-2023 06:12:20,39.61,26.256,10.47,1.6
12-10-2023 06:26:35,36.819,36.312,6.59,2.0
12-10-2023 06:40:03,36.025,35.94,7.03,2.0
12-10-2023 07:43:10,38.943,44.542,6.58,1.9
12-10-2023 09:37:20,36.205,35.888,6.79,1.8
12-10-2023 09:45:41,37.058,36.621,6.09,1.9
12-10-2023 09:52:30,40.888,31.686,7,1.4
12-10-2023 09:58:53,39.041,27.577,7.41,1.8
12-10-2023 10:17:31,37.389,36.87,7,1.9
12-10-2023 10:32:19,35.518,27.402,5.69,1.8
12-10-2023 11:10:12,37.394,36.837,8.32,2.2
12-10-2023 11:26:00,36.858,29.001,8.11,2.0
12-10-2023 11:28:54,38.071,38.468,13.17,1.6
12-10-2023 11:38:10,38.918,44.58,7,3.2
12-10-2023 11:43:37,39.234,27.759,7.19,1.6
12-10-2023 11:49:27,37.106,27.926,7.06,1.2
12-10-2023 11:53:43,37.652,43.843,28.16,1.7
12-10-2023 11:59:08,38.275,38.058,7,1.3
12-10-2023 12:00:57,37.569,29.209,7,1.0
12-10-2023 12:08:14,38.468,29.129,7,1.0
12-10-2023 12:11:28,38.494,29.183,7,1.0
12-10-2023 12:14:03,36.806,36.233,7,1.5
12-10-2023 12:15:52,37.751,27.368,7,1.2
12-10-2023 12:18:46,37.152,37.182,7.6,1.6
12-10-2023 12:19:57,41.261,41.558,7.03,1.1
12-10-2023 12:27:30,37.261,36.721,6.52,1.4
12-10-2023 12:30:22,38.059,37.236,12.2,1.5
12-10-2023 12:35:43,38.308,38.159,7.09,1.2
12-10-2023 12:47:42,39.875,28.869,7.19,1.7
12-10-2023 12:50:53,37.141,33.225,11.57,1.7
12-10-2023 13:39:12,37.31,37.041,7,1.8
12-10-2023 13:51:10,39.258,34.117,7,0.9
12-10-2023 14:04:04,38.906,43.501,7,4.7
12-10-2023 14:48:59,39.619,29.342,7,1.0
12-10-2023 14:58:17,38.879,43.555,5.55,2.3
12-10-2023 15:04:55,37.649,27.468,7,1.3
12-10-2023 15:06:42,38.86,37.401,24.28,2.3
12-10-2023 15:17:41,37.961,35.619,7,1.1
12-10-2023 15:30:58,37.15,36.689,16.37,1.3
12-10-2023 15:46:03,38.958,44.727,7,2.4
12-10-2023 15:46:20,37.953,27.134,7,1.9
12-10-2023 15:46:47,38.269,38.824,7.11,1.2
12-10-2023 15:49:23,38.788,43.573,6.1,1.7
12-10-2023 15:56:53,38.058,36.777,7,2.2
12-10-2023 15:59:11,37.377,36.839,10.24,1.6
12-10-2023 16:07:45,40.239,27.395,7.01,2.4
12-10-2023 16:10:26,38.264,38.791,7,2.2
12-10-2023 16:13:29,39.606,26.401,7,1.3
12-10-2023 16:17:36,37.269,36.946,5.46,1.6
12-10-2023 16:25:23,37.381,37.06,6.79,1.1
12-10-2023 17:19:24,38.211,29.39,7,1.2
12-10-2023 17:48:58,39.002,32.838,7,1.6
12-10-2023 18:02:34,39.556,37.188,6.9,2.0
12-10-2023 18:13:26,38.217,38.736,9.26,1.3
12-10-2023 18:16:47,40.442,34.203,7,1.0
12-10-2023 18:25:11,38.872,44.639,7,2.0
12-10-2023 18:26:00,37.868,27.575,9.53,1.5
12-10-2023 18:33:35,38.942,44.716,7.34,2.1
12-10-2023 18:44:01,38.44,37.524,7.01,2.0
12-10-2023 19:00:51,38.139,38.555,7,0.7
12-10-2023 19:04:37,36.068,36.327,6.67,2.1
12-10-2023 19:32:37,38.424,37.545,6.99,1.2
12-10-2023 19:37:42,36.101,27.429,7.13,1.4
12-10-2023 19:45:10,38.432,37.476,7.01,2.0
12-10-2023 19:48:07,37.934,36.356,7,1.4
12-10-2023 19:55:27,37.908,36.286,6.97,2.1
12-10-2023 20:04:34,37.356,37.077,5.63,1.8
12-10-2023 20:34:17,37.669,36.312,7,1.6
12-10-2023 20:42:02,38.904,27.917,7,1.7
12-10-2023 21:26:07,39.339,40.957,7,1.6
12-10-2023 21:27:23,38.058,37.761,3.49,1.5
12-10-2023 21:56:12,38.391,39.119,7,3.2
12-10-2023 22:02:50,38.261,38.743,3.13,1.1
12-10-2023 22:05:10,38.392,39.116,7,2.9
12-10-2023 22:23:47,38.249,38.645,9.91,1.2
12-10-2023 22:44:31,38.447,37.548,7,2.5
12-10-2023 23:17:21,38.054,37.638,7.2,1.2
13-10-2023 00:13:46,38.314,27.848,7.05,1.5
13-10-2023 00:15:56,38.404,39.136,11.97,2.0
13-10-2023 00:31:39,40.801,31.096,7,1.2
13-10-2023 00:36:55,37.29,37.001,8.87,1.4
13-10-2023 00:43:36,36.866,28.209,6.87,1.1
13-10-2023 00:57:19,38.142,36.568,7,1.3
13-10-2023 01:04:31,38.06,37.419,7,1.7
13-10-2023 01:11:55,38.11,37.849,7,1.4
13-10-2023 01:14:23,37.786,36.251,7.01,1.0
13-10-2023 01:17:39,36.388,36.232,10.01,1.8
13-10-2023 01:19:57,38.141,38.412,7,1.1
13-10-2023 01:23:50,36.874,28.209,7,1.3
13-10-2023 01:26:27,38.219,37.756,7,1.5
13-10-2023 01:45:29,38.053,37.541,7.2,1.9
13-10-2023 01:55:12,38.39,39.138,9,2.1
13-10-2023 01:56:56,41.804,41.999,7.01,1.6
13-10-2023 02:01:56,38.908,43.537,15.7,1.3
13-10-2023 02:05:38,38,36.277,8.79,1.2
13-10-2023 02:28:58,38.393,39.13,7,2.1
13-10-2023 02:38:49,38.411,39.118,11.99,1.6
13-10-2023 02:41:26,37.693,36.333,7,3.1
13-10-2023 02:43:11,36.321,36.304,6.75,2.9
13-10-2023 02:50:41,36.879,36.541,9.21,1.9
13-10-2023 03:05:19,38.071,37.752,7,1.2
13-10-2023 03:08:49,39.011,39.772,6.94,1.6
13-10-2023 03:15:32,37.505,36.635,7,1.5
13-10-2023 03:24:18,38.088,38.376,7,1.6
13-10-2023 03:36:37,37.921,36.09,7,1.5
13-10-2023 03:37:12,37.503,37.118,7,1.4
13-10-2023 03:42:06,38.185,38.004,7,1.4
13-10-2023 04:27:11,38.205,38.624,7.47,1.6
13-10-2023 04:36:43,38.108,38.449,7.59,2.6
13-10-2023 04:38:05,38.103,38.457,6.11,1.9
13-10-2023 04:39:51,37.972,38.122,7.01,1.9
13-10-2023 04:56:37,38.004,36.586,7,1.8
13-10-2023 05:14:14,38.485,38.058,7,1.2
13-10-2023 05:18:39,37.69,36.34,7,1.5
13-10-2023 05:20:52,37.895,33.844,7,1.7
13-10-2023 05:44:05,36.364,36.179,6.94,1.6
13-10-2023 06:09:54,38.107,38.372,12.21,2.5
13-10-2023 06:18:07,38.643,38.015,7.05,2.0
13-10-2023 06:30:31,37.905,36.186,7.02,1.2
13-10-2023 06:31:06,36.302,26.305,25.8,2.6
13-10-2023 06:51:55,38.1,38.368,7,1.0
13-10-2023 07:05:46,37.908,36.275,6.97,1.8
13-10-2023 07:14:11,38.067,36.56,6.94,1.3
13-10-2023 07:18:07,37.893,36.317,7,1.4
13-10-2023 07:33:10,38.93,43.522,8.02,1.5
13-10-2023 07:36:53,39.324,40.976,11.17,3.0
13-10-2023 07:49:06,39.335,40.953,7,2.5
13-10-2023 08:00:29,38.153,37.388,7,2.0
13-10-2023 08:03:45,38.107,38.475,6.98,1.2
13-10-2023 08:44:03,38.359,37.396,7,1.6
13-10-2023 09:25:32,40.058,26.955,6.68,1.3
13-10-2023 09:29:59,38.191,38.694,7.06,2.6
13-10-2023 09:33:06,37.971,38.118,7.01,1.8
13-10-2023 09:36:29,38.104,36.569,7,1.4
13-10-2023 10:05:05,41.121,28.985,7.23,1.2
13-10-2023 10:33:37,35.62,33.593,7,2.4
13-10-2023 10:33:57,38.908,29.971,6.87,0.9
13-10-2023 10:51:00,38.103,38.455,7,1.1
13-10-2023 10:52:50,37.81,28.195,7,1.0
13-10-2023 11:29:39,38.572,26.666,7,1.5
13-10-2023 11:44:28,38.173,38.075,7,1.7
13-10-2023 11:48:47,39.89,33.598,7,0.8
13-10-2023 11:56:07,39.744,30.189,7,1.4
13-10-2023 11:57:22,38.235,37.159,8.6,1.8
13-10-2023 12:02:05,37.992,38.124,7,2.0
13-10-2023 12:03:55,38.44,37.431,7,1.3
13-10-2023 12:24:22,39.371,29.277,5.48,1.2
13-10-2023 12:38:00,37.689,36.086,7.1,1.8
13-10-2023 12:44:10,40.031,27.004,7,1.3
13-10-2023 12:48:41,38.168,38.623,7,1.7
13-10-2023 12:50:57,39.356,26.126,7.25,1.6
13-10-2023 12:52:39,37.303,37.077,6.8,0.9
13-10-2023 12:57:51,38.268,38.744,7,1.5
13-10-2023 12:57:54,40.363,27.017,7.02,1.9
13-10-2023 13:01:01,39.977,33.51,7.34,0.9
13-10-2023 13:06:08,38.253,38.735,4.08,1.5
13-10-2023 13:24:56,40.311,40.193,1.92,1.4
13-10-2023 13:27:26,36.192,36.115,7.09,2.4
13-10-2023 13:29:36,38.071,37.25,7,2.5
13-10-2023 13:32:16,38.191,38.687,7,2.7
13-10-2023 13:34:39,38.333,27.191,9.74,1.4
13-10-2023 13:49:19,38.178,38.597,7,1.4
13-10-2023 13:54:47,40.793,27.491,7.08,1.8
13-10-2023 14:03:15,37.209,28.998,9.92,1.6
13-10-2023 14:03:26,38.388,37.497,7.33,1.7
13-10-2023 14:05:55,41.254,28.902,6.98,1.3
13-10-2023 14:12:04,37.767,27.108,7.02,1.4
13-10-2023 14:43:29,40.518,25.869,6.56,1.9
13-10-2023 14:51:30,37.363,36.969,12.68,1.1
13-10-2023 15:01:06,37.952,27.143,7,1.0
13-10-2023 15:01:32,37.963,27.143,7.02,1.9
13-10-2023 15:19:21,38.082,38.557,7,1.2
13-10-2023 15:21:42,38.083,38.441,7,1.5
13-10-2023 15:39:35,38.238,38.126,7,1.4
13-10-2023 15:40:58,38.188,38.136,7,1.4
13-10-2023 15:41:53,38.384,39.151,16.2,1.7
13-10-2023 15:50:30,38.287,37.773,7,1.5
13-10-2023 16:12:12,36.595,36.406,8.01,2.7
13-10-2023 16:19:30,40.583,40.882,7.03,0.9
13-10-2023 16:20:12,38.014,36.338,6.81,1.8
